blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueBarons,blueHordes,blueTowersDestroyed,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff
0,75,16,1,18,29,41,1,1,0,3,6,122,-4889,-10529
0,75,22,1,21,30,44,0,1,1,4,4,95,-8330,-10408
0,45,26,0,33,37,53,1,1,0,2,4,131,-6502,-10942
0,75,24,1,27,28,46,2,1,2,3,7,140,2147,1998
0,59,18,0,15,27,23,0,0,0,3,3,107,-11137,-10999
0,28,1,0,2,19,2,0,0,0,1,0,51,-13010,-8575
1,31,9,1,38,15,34,2,0,0,0,3,92,9917,10685
0,46,6,0,17,39,15,0,0,0,0,1,80,-15572,-7508
1,117,38,0,40,32,66,1,0,1,2,8,125,7768,11994
1,68,26,0,24,20,45,1,1,1,4,8,135,7308,6473
0,52,17,1,20,42,22,0,0,0,3,1,102,-13709,-14531
